League,Team,Player,Recent_Matches,Recent_Minutes,Recent_Goals,Recent_Assists,Recent_Yellow_Cards,Recent_Red_Cards,Recent_xG,Recent_xA,Recent_Shots,Recent_Shots_On_Target,Recent_Passes_Completed,Recent_Tackles,Recent_Interceptions,Recent_Fouls
Premier League,Aston Villa,Matty Cash,24,1800,1,1,6,0,0.3,0.0,0,0,0,27,21,25
Premier League,Aston Villa,Jacob Ramsey,27,1516,1,3,2,0,1.5,0.0,0,0,0,15,7,12
Premier League,Aston Villa,Boubacar Kamara,23,1463,0,0,2,0,0.4,0.0,0,0,0,20,17,25
Premier League,Aston Villa,Amadou Onana,23,1378,3,0,4,0,2.1,0.0,0,0,0,24,24,30
Premier League,Aston Villa,Leon Bailey,23,1138,1,2,3,0,1.7,0.0,0,0,0,4,3,12
Premier League,Aston Villa,Tyrone Mings,13,1051,0,0,1,0,0.8,0.0,0,0,0,5,7,3
Premier League,Aston Villa,Ian Maatsen,26,957,1,2,2,0,0.8,0.0,0,0,0,15,15,9
Premier League,Aston Villa,Diego Carlos,10,830,0,0,1,0,0.6,0.0,0,0,0,3,5,11
Premier League,Aston Villa,Marco Asensio,10,540,3,1,1,0,4.2,0.0,0,0,0,5,1,8
Premier League,Aston Villa,Axel Disasi,7,490,0,0,2,0,0.1,0.0,0,0,0,5,5,3
Premier League,Aston Villa,Lamare Bogarde,8,476,0,0,2,0,0.0,0.0,0,0,0,6,1,8
Premier League,Aston Villa,Andrés García,7,318,0,0,0,0,0.0,0.0,0,0,0,5,2,1
Premier League,Aston Villa,Jáder Durán,20,638,7,0,3,1,4.9,0.0,0,0,0,7,0,14
Premier League,Aston Villa,Marcus Rashford,10,444,2,2,0,0,3.1,0.0,0,0,0,7,1,1
Premier League,Aston Villa,Ross Barkley,18,571,3,1,3,0,1.7,0.0,0,0,0,3,10,8
Premier League,Aston Villa,Jaden Philogene Bidace,11,332,0,0,4,1,0.5,0.0,0,0,0,5,3,12
Premier League,Aston Villa,Donyell Malen,12,293,3,0,0,0,2.2,0.0,0,0,0,4,0,1
Premier League,Aston Villa,Robin Olsen,3,180,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Aston Villa,Kosta Nedeljković,5,126,0,0,0,0,0.0,0.0,0,0,0,5,0,0
Premier League,Aston Villa,Emi Buendía,12,98,0,0,1,0,0.7,0.0,0,0,0,6,0,4
Premier League,Aston Villa,Benjamin Broggio,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Aston Villa,Joe Gauci,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Aston Villa,Jamaldeen Jimoh,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Aston Villa,Sil Swinkels,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Aston Villa,Kadan Young,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Aston Villa,Oliwier Zych,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Bournemouth,Milos Kerkez,35,3077,2,5,4,0,0.5,0.0,0,0,0,26,42,28
Premier League,Bournemouth,Antoine Semenyo,34,2933,9,5,9,0,9.3,0.0,0,0,0,34,10,66
Premier League,Bournemouth,Illia Zabarnyi,33,2842,0,0,3,1,1.1,0.0,0,0,0,32,38,18
Premier League,Bournemouth,Lewis Cook,34,2816,1,3,8,0,0.9,0.0,0,0,0,42,40,46
Premier League,Bournemouth,Kepa Arrizabalaga,28,2520,0,0,3,0,0.1,0.0,0,0,0,0,0,2
Premier League,Bournemouth,Justin Kluivert,31,2161,12,6,8,0,10.0,0.0,0,0,0,9,13,42
Premier League,Bournemouth,Ryan Christie,29,2117,2,3,9,0,1.8,0.0,0,0,0,33,30,43
Premier League,Bournemouth,Evanilson,28,2058,10,1,1,1,11.6,0.0,0,0,0,10,0,33
Premier League,Bournemouth,Dean Huijsen,29,2234,3,1,8,0,1.9,0.0,0,0,0,23,49,29
Premier League,Bournemouth,Dango Ouattara,32,2005,7,4,3,0,8.4,0.0,0,0,0,26,11,16
Premier League,Bournemouth,Tyler Adams,25,1710,0,3,7,0,1.6,0.0,0,0,0,46,32,41
Premier League,Bournemouth,Marcus Tavernier,26,1670,3,5,5,0,5.3,0.0,0,0,0,24,5,28
Premier League,Bournemouth,Adam Smith,22,1409,0,0,6,0,0.7,0.0,0,0,0,10,14,15
Premier League,Bournemouth,Marcos Senesi,15,1014,0,0,5,0,0.8,0.0,0,0,0,21,11,19
Premier League,Bournemouth,David Brooks,26,832,2,0,3,0,2.2,0.0,0,0,0,4,5,8
Premier League,Bournemouth,Alex Scott,18,709,0,0,2,0,0.7,0.0,0,0,0,13,10,13
Premier League,Bournemouth,James Hill,10,448,0,1,1,0,0.3,0.0,0,0,0,8,9,7
Premier League,Bournemouth,Julian Araujo,10,426,0,0,1,0,0.0,0.0,0,0,0,3,6,5
Premier League,Bournemouth,Mark Travers,5,450,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Bournemouth,Enes Ünal,17,345,2,1,2,0,2.7,0.0,0,0,0,0,0,6
Premier League,Bournemouth,Neto,2,180,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Bournemouth,Luis Sinisterra,12,236,1,1,0,0,1.2,0.0,0,0,0,2,1,4
